,CODIGO DA ENTIDADE,NUMERO DE PARTICIPANTES,CODESC,NOMEESC
299,35119118,21,35119118,SAO PAULO COLEGIO
300,35176734,21,35176734,FIDENS COLEGIO
301,35914794,21,35914794,EURICO DA SILVA BASTOS DOUTOR PROFESSOR
302,35144770,21,35144770,UNIAO ESCOLA DE ENSINO BASICO
303,35151836,21,35151836,SENIOR COLEGIO
304,35142529,21,35142529,BATISTA DA PENHA COLEGIO
305,35140314,21,35140314,EAG EAG COLEGIO TECNICO
306,35176205,21,35176205,EGO ESCOLA
307,35307592,21,35307592,SOLUCAO MASTER COLEGIO
308,35480289,21,35480289,CANTAREIRA ENSINO MEDIO COLEGIO UNIDADE II
309,35154441,21,35154441,ALIADO COLEGIO UNIDADE CLUBE GUAPIRA
310,35170458,21,35170458,AUGUSTO HELOI COLEGIO
311,35132329,21,35132329,ECO COLEGIO
312,35108996,21,35108996,LEONOR MENDES DE BARROS DONA COLEGIO
313,35154337,22,35154337,BRIDA COLEGIO
314,35105028,22,35105028,CRISTO REI COLEGIO
315,35921105,22,35921105,AYRTON SENNA DA SILVA
316,35134788,22,35134788,PUERI DOMUS ESCOLA ITAIM UNIDADE II
317,35100444,22,35100444,LUIZA DE MARILLAC COLEGIO
318,35102489,22,35102489,FLAMINGO COLEGIO
319,35124436,22,35124436,EMILIA MARINHO COLEGIO
320,35100900,22,35100900,NOSSA SENHORA DO CARMO EDUCANDARIO
321,35131064,22,35131064,JEAN PIAGET CENTRO EDUCACIONAL
322,35108066,22,35108066,SESI 129 CENTRO EDUCACIONAL
323,35109289,22,35109289,GRANJA VIANA ESCOLA
324,35467789,22,35467789,PHOENIX COLEGIO
325,35419576,22,35419576,CENTRO EDUCACIONAL SESI 433
326,35132986,22,35132986,LUMIERE COLEGIO
327,35008175,22,35008175,NADIR LESSA TOGNINI PROFESSORA
328,35140181,22,35140181,TERESA DE CALCUTA ESCOLA DE 1 GRAU
329,35137650,22,35137650,SAO CARLOS CENTRO EDUCACIONAL
330,35296004,22,35296004,D AMBROSIO INSTITUTO EDUCACIONAL
331,35175493,22,35175493,DELIBERATO CENTRO EDUCACIONAL
332,35368441,22,35368441,PRESCILA BONIFIGLIO GIANNINI COLEGIO
333,35805661,22,35805661,PLENITUDE COLEGIO
334,35902366,22,35902366,BAIRRO DO ITAIM
335,35038428,23,35038428,ERVIN HORVATH DOUTOR
336,35103123,23,35103123,EMECE INTERNACIONAL COLEGIO
337,35103248,23,35103248,CLARETIANO DE SAO PAULO COLEGIO
338,35170409,23,35170409,DIADEMA CENTRO EDUCACIONAL DE
339,35143029,23,35143029,BATISTA DE ITAPEVI ESCOLA
340,35144186,23,35144186,ITACA COLEGIO
341,35165098,23,35165098,SAN MARCOS COLEGIO
342,35924039,23,35924039,CLAUDINEI GARCIA PROFESSOR
343,35005630,23,35005630,WALTHER WEISZFLOG
344,35207676,23,35207676,EMEFM ANTONIO SAMPAIO VER
345,35139208,23,35139208,ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III
346,35107402,23,35107402,SANTA AMALIA COLEGIO
347,35133498,23,35133498,24 DE MARCO COLEGIO UNIDADE I
348,35802578,23,35802578,COLEGIO ARBOS EIEFEM UNIDADE IV
349,35006476,23,35006476,AMADEU RODRIGUES NORTE
350,35153771,23,35153771,BRASILEIRA ESCOLA DE EDUCACAO
351,35171189,23,35171189,HEITOR VILLA LOBOS COLEGIO
352,35103780,23,35103780,RENASCENCA HEBRAICO BRASILEIRO COLEGIO UNIDADE II
353,35137157,23,35137157,DIMENSAO COLEGIO
354,35153631,23,35153631,NOVO DINAMICO INSTITUTO DE ENSINO
355,35108078,23,35108078,SESI 398 CENTRO EDUCACIONAL
356,35174920,23,35174920,ALCANCE COLEGIO
357,35290993,24,35290993,MONFORTE COLEGIO
358,35809688,24,35809688,ALIADO COLEGIO UNIDADE JARDIM JAPAO
359,35395754,24,35395754,POLICIA MILITAR COLEGIO DA UNIDADE SANTO ANDRE
360,35140831,24,35140831,FARIAS BRITO COLEGIO
361,35127991,24,35127991,BEIT YAACOV ESCOLA
362,35810794,24,35810794,INTEGRACAO COLEGIO
363,35136759,24,35136759,EL SHADAI CENTRO EDUCACIONAL
364,35144216,24,35144216,T PARTHENON COLEGIO UNIDADE II
365,35133115,24,35133115,T PARTHENON COLEGIO UNIDADE I
366,35007882,24,35007882,LEICO AKAISHI PROFESSORA
367,35156231,24,35156231,SAINT CLAIR COLEGIO
368,35048148,24,35048148,ELIAS ALVES DA COSTA BACHAREL
369,35179848,24,35179848,PRELUDIO COLEGIO
370,35101333,24,35101333,NOSSA SENHORA AUXILIADORA INSTITUTO
371,35108418,24,35108418,SESI 175 CENTRO EDUCACIONAL
372,35109162,24,35109162,EXTERNATO SANTO ANTONIO
373,35135094,24,35135094,BRASILIS COLEGIO
374,35100171,25,35100171,NOSSA SENHORA DAS DORES COLEGIO
375,35802839,25,35802839,ARBOS COLEGIO UNIDADE MARECHAL DEODORO
376,35107700,25,35107700,ELVIRA BRANDAO COLEGIO
377,35150373,25,35150373,PARAISO COLEGIO
378,35141446,25,35141446,SANTA RITA DE CASSIA EDUCANDARIO
379,35106800,25,35106800,LUTERANO COLEGIO SAO PAULO
